Algeria,ALG,#FFFFFF,#85FFAD,Africa
Cameroon,CMR,#007A3D,#FF0000,Africa
Cte d'Ivoire,CIV,#FF9900,#FFFFFF,Africa
Ghana,GHA,#FFFFFF,#000000,Africa
Nigeria,NGA,#33CC33,#FFFFFF,Africa
Australia,AUS,#FFD633,#006600,Asia
Iran,IRN,#FFFFFF,#CC2900,Asia
Japan,JPN,#000099,#FFFFFF,Asia
Korea Republic,KOR,#CC0000,#002EB8,Asia
Belgium,BEL,#FF0000,#FFFF00,Europe
Bosnia and Herzegovina,BIH,#FFFFFF,#0000E6,Europe
Croatia,CRO,#0000E6,#FF3300,Europe
England,ENG,#FFFFFF,#CC2900,Europe
France,FRA,#003399,#FFFFFF,Europe
Germany,GER,#FFFFFF,#000000,Europe
Greece,GRE,#FFFFFF,#0033CC,Europe
Italy,ITA,#1975FF,#FFFFFF,Europe
Netherlands,NED,#FF7519,#FFFFFF,Europe
Portugal,POR,#B20000,#197519,Europe
Russia,RUS,#D11919,#FFFFFF,Europe
Spain,ESP,#FF0000,#FFFF00,Europe
Switzerland,SUI,#FF0000,#FFFFFF,Europe
Costa Rica,CRC,#FF0000,#0000FF,North- Central America and Caribbean
Honduras,HON,#FFFFFF,#00A3CC,North- Central America and Caribbean
Mexico,MEX,#007A29,#FFFFFF,North- Central America and Caribbean
USA,USA,#FFFFFF,#0000FF,North- Central America and Caribbean
Argentina,ARG,#4DDBFF,#FFFFFF,South America
Brazil,BRA,#FFFF00,#008000,South America
Chile,CHI,#E62E00,#0000CC,South America
Colombia,COL,#FFFF00,#0000FF,South America
Ecuador,ECU,#FFFF00,#0000E6,South America
Uruguay,URU,#2E8AE6,#FFFFFF,South America
Austria,AUT,#FF0000,#FFFFFF,Europe
Bulgaria,BUL,#FFFFFF,#009933,Europe
Canada,CAN,#FF3300,#FFFFFF,North- Central America and Caribbean
China,CHN,#FF3300,#FFFFFF,Asia
Denmark,DEN,#E60000,#FFFFFF,Europe
Hungary,HUN,#FF0000,#009933,Europe
Israel,ISR,#FFFFFF,#0000FF,Asia
Saudi Arabia,KSA,#009933,#FFFFFF,Asia
Kuwait,KUW,#0033CC,#FFFFFF,Asia
Norway,NOR,#FF0000,#003399,Europe
Paraguay,PAR,#FF0000,#FFFFFF,South America
Qatar,QAT,#990000,#FFFFFF,Asia
South Africa,RSA,#FFFF00,#00A300,Africa
Scotland,SCO,#000080,#FFFFFF,Europe
Sweden,SWE,#FFFF00,#0000FF,Europe
Tunisia,TUN,#FFFFFF,#FF0000,Africa
Turkey,TUR,#FF3300,#FFFFFF,Europe
United Arab Emirates,UAE,#FFFFFF,#FF0000,Asia
Ukraine,UKR,#FFFF00,#0000CC,Europe
